m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,F_value,t0
1,1000,4,-10,1,1,0,2.5,,
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0.025
,,,,,,,,0,0.0375
,,,,,,,,-52173.1,0.0375
,,,,,,,,-52173.1,0.05
,,,,,,,,-52173.1,0.075
,,,,,,,,-52173.1,0.0875
,,,,,,,,-50927.9,0.0875
,,,,,,,,-50927.9,0.1
,,,,,,,,-50927.9,0.125
,,,,,,,,-50927.9,0.1375
,,,,,,,,-47988,0.1375
,,,,,,,,-47988,0.15
,,,,,,,,-47988,0.175
,,,,,,,,-47988,0.1875
,,,,,,,,-44992,0.1875
,,,,,,,,-44992,0.2
,,,,,,,,-44992,0.225
,,,,,,,,-44992,0.2375
,,,,,,,,-42010.3,0.2375
,,,,,,,,-42010.3,0.25
,,,,,,,,-42010.3,0.275
,,,,,,,,-42010.3,0.2875
,,,,,,,,-39062,0.2875
,,,,,,,,-39062,0.3
,,,,,,,,-39062,0.325
,,,,,,,,-39062,0.3375
,,,,,,,,-36162.9,0.3375
,,,,,,,,-36162.9,0.35
,,,,,,,,-36162.9,0.375
,,,,,,,,-36162.9,0.3875
,,,,,,,,-33326.6,0.3875
,,,,,,,,-33326.6,0.4
,,,,,,,,-33326.6,0.425
,,,,,,,,-33326.6,0.4375
,,,,,,,,-30564.9,0.4375
,,,,,,,,-30564.9,0.45
,,,,,,,,-30564.9,0.475
,,,,,,,,-30564.9,0.4875
,,,,,,,,-27888.2,0.4875
,,,,,,,,-27888.2,0.5
,,,,,,,,-27888.2,0.525
,,,,,,,,-27888.2,0.5375
,,,,,,,,-25305,0.5375
,,,,,,,,-25305,0.55
,,,,,,,,-25305,0.575
,,,,,,,,-25305,0.5875
,,,,,,,,-22822.4,0.5875
,,,,,,,,-22822.4,0.6
,,,,,,,,-22822.4,0.625
,,,,,,,,-22822.4,0.6375
,,,,,,,,-20446.1,0.6375
,,,,,,,,-20446.1,0.65
,,,,,,,,-20446.1,0.675
,,,,,,,,-20446.1,0.6875
,,,,,,,,-18180.7,0.6875
,,,,,,,,-18180.7,0.7
,,,,,,,,-18180.7,0.725
,,,,,,,,-18180.7,0.7375
,,,,,,,,-16029.3,0.7375
,,,,,,,,-16029.3,0.75
,,,,,,,,-16029.3,0.775
,,,,,,,,-16029.3,0.7875
,,,,,,,,-13994.3,0.7875
,,,,,,,,-13994.3,0.8
,,,,,,,,-13994.3,0.825
,,,,,,,,-13994.3,0.8375
,,,,,,,,-12076.8,0.8375
,,,,,,,,-12076.8,0.85
,,,,,,,,-12076.8,0.875
,,,,,,,,-12076.8,0.8875
,,,,,,,,-10277.2,0.8875
,,,,,,,,-10277.2,0.9
,,,,,,,,-10277.2,0.925
,,,,,,,,-10277.2,0.9375
,,,,,,,,-8595.09,0.9375
,,,,,,,,-8595.09,0.95
,,,,,,,,-8595.09,0.975
,,,,,,,,-8595.09,0.9875
,,,,,,,,-7029.28,0.9875
,,,,,,,,-7029.28,1
,,,,,,,,-7029.28,1.025
,,,,,,,,-7029.28,1.0375
,,,,,,,,-5577.99,1.0375
,,,,,,,,-5577.99,1.05
,,,,,,,,-5577.99,1.075
,,,,,,,,-5577.99,1.0875
,,,,,,,,-4238.86,1.0875
,,,,,,,,-4238.86,1.1
,,,,,,,,-4238.86,1.125
,,,,,,,,-4238.86,1.1375
,,,,,,,,-3009.08,1.1375
,,,,,,,,-3009.08,1.15
,,,,,,,,-3009.08,1.175
,,,,,,,,-3009.08,1.1875
,,,,,,,,-1885.4,1.1875
,,,,,,,,-1885.4,1.2
,,,,,,,,-1885.4,1.225
,,,,,,,,-1885.4,1.2375
,,,,,,,,-864.211,1.2375
,,,,,,,,-864.211,1.25
,,,,,,,,-864.211,1.275
,,,,,,,,-864.211,1.2875
,,,,,,,,58.3761,1.2875
,,,,,,,,58.3761,1.3
,,,,,,,,58.3761,1.325
,,,,,,,,58.3761,1.3375
,,,,,,,,886.492,1.3375
,,,,,,,,886.492,1.35
,,,,,,,,886.492,1.375
,,,,,,,,886.492,1.3875
,,,,,,,,1624.45,1.3875
,,,,,,,,1624.45,1.4
,,,,,,,,1624.45,1.425
,,,,,,,,1624.45,1.4375
,,,,,,,,2276.72,1.4375
,,,,,,,,2276.72,1.45
,,,,,,,,2276.72,1.475
,,,,,,,,2276.72,1.4875
,,,,,,,,2847.86,1.4875
,,,,,,,,2847.86,1.5
,,,,,,,,2847.86,1.525
,,,,,,,,2847.86,1.5375
