m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,F_value,t0
1,1000,4,-10,1,1,0,2.8,,
,,,,,,,,0,0
,,,,,,,,-58433.9,0.05
,,,,,,,,-57039.3,0.1
,,,,,,,,-53746.6,0.15
,,,,,,,,-50391.1,0.2
,,,,,,,,-47051.6,0.25
,,,,,,,,-43749.5,0.3
,,,,,,,,-40502.5,0.35
,,,,,,,,-37325.8,0.4
,,,,,,,,-34232.9,0.45
,,,,,,,,-31235,0.5
,,,,,,,,-28341.8,0.55
,,,,,,,,-25561.3,0.6
,,,,,,,,-22899.8,0.675
,,,,,,,,-20362.5,0.725
,,,,,,,,-17953,0.7875
,,,,,,,,-15673.8,0.8375
,,,,,,,,-13526.2,0.8875
,,,,,,,,-9626.71,0.95
,,,,,,,,-7873.01,1
,,,,,,,,-6247.57,1.05
,,,,,,,,-4747.76,1.1
,,,,,,,,-3370.41,1.15
,,,,,,,,-2111.89,1.2
,,,,,,,,-968.159,1.275
,,,,,,,,65.1341,1.325
,,,,,,,,992.62,1.375
,,,,,,,,1819.14,1.425
,,,,,,,,2549.68,1.475
,,,,,,,,3189.34,1.5375
,,,,,,,,3743.3,1.5875
,,,,,,,,4216.75,1.6375
,,,,,,,,4614.86,1.6875
,,,,,,,,4942.78,1.7375
,,,,,,,,5408.18,1.8
,,,,,,,,5555.49,1.85
,,,,,,,,5652.18,1.9
,,,,,,,,5702.82,1.95
,,,,,,,,5711.79,2
,,,,,,,,5683.3,2.05
,,,,,,,,5621.36,2.1
,,,,,,,,5529.8,2.15
,,,,,,,,5412.23,2.2
,,,,,,,,5272.08,2.25
,,,,,,,,5112.56,2.3
,,,,,,,,4936.69,2.35
,,,,,,,,4747.27,2.4
,,,,,,,,4546.91,2.45
,,,,,,,,4338.02,2.5
,,,,,,,,4122.84,2.55
,,,,,,,,3903.38,2.6
,,,,,,,,3681.51,2.65
,,,,,,,,3458.9,2.7
,,,,,,,,3237.07,2.75
